index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
1977,Southwest Minnesota State University,0.0,3689.0,0.6546,14519.0,0,0,0,1,0,0
1984,Winona State University,0.0,5482.0,0.6075,17408.0,0,0,0,1,0,0
1987,Alcorn State University,0.0,4029.0,0.8291,13360.0,0,0,0,1,0,0
1996,Delta State University,0.0,5429.0,0.8941,13696.0,0,0,0,1,0,0
2004,Jackson State University,0.0,5600.0,0.6464,13690.0,0,0,0,1,0,0
2009,University of Mississippi,0.0,8585.0,0.5936,13858.0,0,0,0,1,0,0
2011,Mississippi University for Women,0.0,4384.0,0.4349,9964.0,0,0,0,1,0,0
2012,Mississippi Valley State University,0.0,3148.0,0.2272,10132.0,0,0,0,1,0,0
2016,Mississippi State University,0.0,6667.0,0.6482,15983.0,0,0,0,1,0,0
2023,University of Southern Mississippi,0.0,6081.0,0.6631,12423.0,0,0,0,1,0,0
2040,University of Central Missouri,0.0,6183.0,0.8083,14903.0,0,0,0,1,0,0
2092,Missouri Southern State University,0.0,3721.0,0.9728,9437.0,0,0,0,1,0,0
2096,University of Missouri-Columbia,0.0,10084.0,0.7861,16940.0,0,0,0,1,0,0
2097,University of Missouri-Kansas City,0.0,10688.0,0.33,17606.0,0,0,0,1,0,0
2098,Missouri University of Science and Technology,0.0,10252.0,0.8215,15153.0,0,0,0,1,0,0
2099,University of Missouri-St Louis,0.0,8003.0,0.7419,13463.0,0,0,0,1,0,0
2106,Truman State University,0.0,5045.0,0.7219,12703.0,0,0,0,1,0,0
2107,Northwest Missouri State University,0.0,6076.0,0.7241,10612.0,0,0,0,1,0,0
2134,Southeast Missouri State University,0.0,7348.0,0.8546,12012.0,0,0,0,1,0,0
2135,Missouri State University-Springfield,0.0,6228.0,0.851,14817.0,0,0,0,1,0,0
2165,Montana Tech of the University of Montana,0.0,6448.0,0.8891,11619.0,0,0,0,1,0,0
2166,Montana State University,0.0,9218.0,0.8449,16236.0,0,0,0,1,0,0
